Order ID,Order Date,Region,Product Category,Sales Amount,Quantity Sold,Discount (%),Profit
a0a8290f,2024-07-05,South,Sports,1050.29,30,4,423.5
077a9429,2023-06-02,North,Furniture,1269.1,3,7,1819.88
8.64E+09,2023-09-23,West,Groceries,4229.47,3,9,11.29
41d1321a,2023-11-13,South,Groceries,3767.63,30,41,1031.74
44afa795,2023-05-22,West,Sports,640.91,19,19,1148.62
8c329e53,2024-06-18,North,Furniture,2958,4,22,1968.62
cdbba08a,2023-01-22,West,Sports,4049.49,5,1,1151.9
4415c908,2024-04-03,North,Sports,4155.03,32,5,1637.7
a9ac13d3,2024-09-21,North,Furniture,2011.35,44,10,829.69
5fbf219e,2024-01-08,West,Electronics,2365.24,10,33,1970.1
f3ba50cf,2024-01-30,South,Clothing,2615.84,31,9,1276.87
88840b0f,2024-04-17,West,Clothing,4954.33,26,43,1723.31
3dcffe93,2023-06-05,North,Clothing,1969.35,27,11,1532.9
745eb905,2024-04-01,North,Clothing,2083.02,49,11,105.26
b8fca939,2024-08-26,South,Electronics,4752.49,36,8,1903.35
aa2f3b2c,2023-06-20,North,Clothing,4031.47,20,4,1722.65
df1581bf,2024-05-14,East,Furniture,3299.15,22,45,1352.78
8ee932c1,2024-06-22,North,Clothing,4132.07,4,19,763.86
085e9490,2023-06-07,South,Electronics,1053.19,22,20,570.11
65b0eedf,2024-05-13,North,Electronics,3864.26,22,28,908.02
2836b2dd,2024-04-17,East,Clothing,554.26,17,7,1898.3
31cb24fb,2022-12-31,North,Groceries,1781.92,36,39,795.64
4b14b87e,2023-07-16,South,Groceries,558.24,35,13,1101.43
8b455dd5,2024-08-13,South,Electronics,1132.27,24,45,1667.35
431f447c,2024-10-21,West,Furniture,4270.95,3,37,49.76
179932de,2023-05-25,West,Electronics,633.82,13,10,1830.09
837fe25b,2023-12-01,West,Sports,1024.68,33,47,241.15
2ee55500,2024-03-05,North,Furniture,218.83,7,13,863.98
97d9b8c6,2024-08-28,South,Sports,3563.26,14,3,1939.69
7a9addbb,2024-05-21,West,Sports,879.56,45,15,1898.75
bf73a3ed,2024-06-07,South,Furniture,239.31,45,6,434.28
d586acce,2024-05-11,South,Groceries,795.32,31,9,1251.72
7e565ca9,2023-03-17,East,Electronics,1606.99,10,14,1127.86
a470e7d9,2024-10-15,South,Groceries,4480.71,16,48,45.94
2a6fb52d,2023-03-02,East,Furniture,3901.29,36,17,1250.83
2ce5273a,2023-02-17,East,Sports,2584.68,25,14,834.99
29752a52,2023-09-01,West,Furniture,1894.09,22,1,778.98
c7da6b3c,2024-09-04,South,Furniture,2748.36,43,40,821.39
a5c6ee7c,2023-05-24,South,Electronics,4464.86,36,24,695.05
99716af4,2024-02-16,North,Furniture,2387,39,24,1353.49
432c391d,2024-03-28,West,Electronics,1283.84,19,2,1911.6
0f71659c,2023-08-03,East,Furniture,3030.58,43,47,491.17
775071be,2023-12-29,South,Furniture,1729.53,13,29,1892.43
ff4e7918,2024-11-12,South,Electronics,2206.92,40,3,87.05
70bcb0dd,2024-09-25,East,Electronics,2723.27,22,15,1190.99
7ca03347,2024-10-04,East,Furniture,3835.55,27,17,1205.89
cb93a39f,2024-06-28,North,Clothing,1348.82,47,14,110.54
f2115065,2023-09-20,North,Furniture,487.67,16,42,810.07
a6d1bdfa,2023-01-04,North,Sports,3338.32,45,6,1639.12
1e45be91,2024-05-19,East,Groceries,50.75,10,43,121.05
0d2f6859,2023-04-02,North,Furniture,906.4,47,26,1853.84
258d10e5,2024-08-24,South,Sports,657.56,22,0,104.11
9abc16e4,2023-05-01,North,Furniture,2252.12,23,38,1529.45
5e11db9e,2023-04-14,East,Sports,713.95,25,15,78.73
0ad328c0,2023-12-14,West,Groceries,3155.7,43,13,393.8
a09f594f,2024-01-11,North,Clothing,427.47,8,22,220.36
711e5a0f,2023-09-29,East,Furniture,2997,13,0,684.39
a3e113c5,2023-07-28,North,Electronics,1485.73,41,8,30.51
af92288a,2023-05-04,East,Clothing,2607.64,25,16,940.4
0b15f10d,2024-07-23,East,Furniture,1351.29,50,17,863.33
6c5cf990,2024-06-18,North,Clothing,2901.66,15,18,1362.08
21097fe5,2024-04-16,North,Sports,215.33,37,0,1665.67
9692bc46,2023-01-23,North,Sports,3359.02,2,28,1942.48
760c7a33,2024-06-28,West,Furniture,300.58,30,19,376.97
d4fbdca4,2023-06-17,West,Sports,1076.95,1,5,837.87
241d17f2,2023-12-09,East,Electronics,1739.95,26,2,1112.49
db2827f3,2023-10-16,East,Sports,3047.27,18,13,1639.74
f00ad8bb,2023-05-16,East,Clothing,1014.79,4,9,1269.54
c0c3e1a6,2024-06-10,West,Clothing,4764.2,11,31,1056.49
d8742c69,2023-07-26,East,Electronics,3930.05,23,29,1968.25
58d80c41,2023-01-13,South,Groceries,873.97,41,15,213.98
23b60d27,2023-08-28,South,Groceries,959.04,1,18,1832.28
e029d5a6,2023-02-18,West,Furniture,1586.65,26,3,1090.64
c41efe4c,2024-05-22,South,Furniture,1453.8,13,16,385.22
61831599,2022-12-28,East,Sports,4889.46,1,20,807.13
cf159d42,2023-06-29,East,Sports,2548.91,3,7,694.24
ffa6342d,2023-08-06,South,Clothing,3804.77,31,47,185.46
459360d4,2024-07-26,East,Groceries,372.53,19,13,232.82
fdf4755a,2024-07-24,North,Electronics,2573.55,48,36,1707.54
0a7d436c,2023-11-05,West,Clothing,1761.29,27,12,492.03
3c1ab674,2023-02-15,East,Groceries,4113.4,32,3,1726.09
42b5d016,2023-08-09,West,Electronics,202.21,6,43,734.47
2616d5b4,2024-10-11,North,Sports,4347.15,20,34,1392.45
338c4722,2024-03-13,West,Clothing,4992.83,2,28,1468.94
6b1e9797,2024-07-27,East,Sports,1387.18,28,9,381.96
6e4fab78,2024-10-01,North,Clothing,4642.87,35,14,216.96
8944bc68,2023-08-27,East,Electronics,4879.9,37,5,1424.1
6d01e9aa,2024-01-07,East,Electronics,932.08,36,4,833.05
f3449cb2,2023-12-28,West,Electronics,3673.01,33,31,344.49
5107b0cd,2022-12-19,East,Electronics,1275.02,30,27,362.35
6c6f74b6,2023-02-12,North,Groceries,2552.92,31,31,1907.44
d647003d,2023-03-27,West,Furniture,1034.27,16,50,1699.35
1d4dddfa,2024-05-28,North,Electronics,1844.22,37,35,900.79
7c6db794,2023-12-04,North,Electronics,2034.58,25,22,983.94
fb7963a1,2024-03-13,West,Furniture,2299.83,8,3,522.23
942b7f7c,2023-12-14,West,Furniture,3657.96,43,27,956.92
423261cb,2023-04-10,East,Electronics,2852.97,4,5,418.25
35fe0fa8,2024-03-08,South,Groceries,2168.49,16,0,1301.12
cb81ad58,2023-08-17,North,Clothing,2152.82,19,16,1396.93
d076453a,2023-09-26,East,Groceries,497.78,20,31,853.81
f1065dd9,2022-12-06,West,Furniture,1611.31,39,42,1038.25
c19c2143,2023-01-30,West,Furniture,4586.33,1,20,105.86
3766a067,2023-07-07,West,Sports,4680.21,17,7,1891.83
1cbf17fc,2024-08-18,West,Sports,2420.41,22,11,326.32
629482d3,2023-09-09,North,Groceries,2366.73,46,2,719.48
7d302db2,2023-07-29,South,Groceries,2762.66,35,30,422.52
1c22dc77,2024-10-12,South,Clothing,1559.92,33,43,1731.83
659e9f3b,2023-08-12,West,Groceries,2680.05,5,16,1116.5
11f7c810,2024-10-30,West,Clothing,4248.76,48,23,1078.77
dffb2e00,2023-01-01,West,Electronics,3946.9,36,44,823.62
71f59681,2024-09-30,North,Sports,478.76,50,15,1421.97
d5623566,2022-12-29,North,Sports,2323.76,11,18,440.68
94a0b0f8,2024-02-16,South,Groceries,2332.87,10,4,1656.79
03bc1108,2023-06-19,East,Groceries,293.32,7,17,1730.03
03f9d79a,2023-08-30,South,Clothing,2710.58,50,13,1478.8
fcaff031,2023-10-13,West,Electronics,3521.44,15,9,1124.96
b98e148b,2023-06-12,South,Furniture,82.08,36,33,828.16
b961efd5,2024-03-19,South,Electronics,3767.5,11,0,922.22
1a867a1f,2023-05-04,West,Electronics,2821.33,7,50,519.76
ced67d5d,2023-10-25,East,Groceries,4352.98,16,3,1870.83
85b7334b,2023-08-30,South,Sports,3680.41,41,43,847.16
fd347e68,2024-05-21,South,Electronics,1251.38,2,11,185.29
1e18c00a,2023-01-05,North,Clothing,2925.27,24,4,1753.87
3.74E+07,2023-08-23,South,Groceries,2454.67,10,28,47.54
af24551a,2023-04-24,North,Groceries,4662.47,13,22,735.39
6b389c40,2023-07-06,West,Clothing,2943.33,45,8,571.04
7743bcd0,2023-04-06,South,Groceries,2261.46,46,39,373.45
84d09672,2023-09-11,North,Sports,2679.53,36,6,1471
bd554f96,2023-03-26,East,Electronics,1290.66,46,8,147.39
dee8766b,2024-04-28,East,Groceries,211.31,45,48,1844.45
733628ca,2024-01-19,West,Furniture,3582.85,42,48,1359.36
7101a707,2023-06-20,West,Furniture,419.94,12,22,1047.8
7349ac4e,2023-11-29,East,Sports,4422.18,14,33,237.47
fbe74fbe,2022-12-12,East,Furniture,3277.47,11,2,379.92
6bde908c,2024-08-20,North,Clothing,4264.38,31,24,1179.93
56a98641,2023-03-31,South,Furniture,647.38,16,34,1937.88
d14d8d01,2023-05-07,East,Groceries,3097.39,17,42,33.52
b1fe3bbf,2023-07-18,North,Sports,619.81,38,41,926.27
75b5349d,2023-01-17,North,Clothing,3697.98,8,21,941.76
2ecc60c1,2023-01-08,South,Clothing,4559.22,14,29,1055.86
60839616,2024-08-25,South,Sports,1787.05,11,19,40.81
a65dfe8b,2023-06-27,West,Furniture,901.68,7,48,903.11
850b0c26,2024-05-11,North,Electronics,2934.72,20,12,528.02
21fd10ea,2024-04-06,West,Groceries,1058.57,6,13,697.72
8d90e130,2023-02-08,East,Furniture,3988.42,36,1,1637.88
41aee1e8,2023-03-25,South,Sports,2727.47,35,1,1875.23
2f562dc0,2023-12-15,South,Groceries,1765.49,13,24,1951.72
1790f693,2023-01-21,North,Furniture,4383.76,40,21,1013.33
1ad9d5e9,2024-07-03,South,Groceries,4240.64,49,14,1765.62
ae129571,2023-02-13,South,Furniture,273.84,44,29,821
79a06bc6,2023-04-03,East,Sports,152.53,10,16,1958.8
65240ae3,2023-06-29,West,Groceries,1407.97,26,35,978.17
d4df366c,2024-06-16,West,Furniture,4083.3,22,40,1003.31
2ec7d99a,2024-05-08,West,Furniture,2147.93,7,1,1704.65
14e88de0,2023-09-20,East,Clothing,4147.42,49,29,1416.19
a9e06586,2024-05-24,North,Clothing,1000.26,9,48,1107.13
ac916bdb,2023-02-20,North,Groceries,464,25,14,772.55
f8a770c7,2023-10-24,South,Clothing,1591.64,30,9,534.3
6ca8c17f,2023-06-09,North,Electronics,4954.64,34,30,1244.4
b06e2cd2,2023-08-25,East,Groceries,325.22,22,33,508.36
b2a8f295,2024-09-01,North,Clothing,4535.94,26,36,1062.13
a76aeb66,2024-05-29,East,Clothing,296.61,22,34,1144.07
22f34721,2024-04-08,East,Groceries,1395.71,34,38,1804.57
43fea1ac,2024-10-02,West,Furniture,2443.79,37,38,411.73
2c7aabad,2023-06-10,West,Groceries,2050.02,28,20,1712.2
75a8d2f4,2023-03-06,East,Groceries,2692.03,50,44,891.49
a2aceb94,2023-09-13,East,Clothing,2045.78,27,0,96.23
8f1c4661,2023-08-27,East,Sports,4115.93,50,48,741.85
82abe2b7,2024-11-13,North,Clothing,3825.01,23,17,578.6
385341ea,2024-10-28,West,Electronics,4031.06,33,4,1132.46
679abad3,2024-11-05,East,Sports,1875.67,6,42,405.84
e1314dfe,2023-06-15,East,Furniture,59,50,44,781.02
7881d39c,2023-10-30,East,Electronics,4748.67,40,49,488
9392481f,2024-06-29,South,Furniture,3074.29,37,29,352.22
e9bdbccb,2024-07-02,North,Electronics,4723.89,38,29,681.75
30e10b81,2024-07-19,South,Groceries,2765.73,45,10,1624.51
f7fc40bf,2024-10-25,East,Sports,4798.7,37,28,156.88
4f7585fd,2023-09-18,South,Sports,1903.26,23,8,266.18
12a6182f,2023-02-09,East,Furniture,1728.17,18,2,1527.95
03a15f32,2024-03-18,East,Sports,1169.15,8,24,563.23
96b58695,2023-06-19,East,Groceries,1976.5,15,16,729.2
a96a6386,2024-01-11,North,Clothing,3714.22,32,41,1992.87
9c2fba00,2024-07-18,North,Sports,3563.17,31,9,1647.33
ca1af362,2023-05-17,North,Groceries,3986.86,18,24,432.51
a6aaf304,2023-08-04,South,Electronics,661.84,21,28,849.94
e4de7860,2023-06-02,East,Sports,2388.75,40,12,1868.2
784480d1,2023-02-12,West,Electronics,3419.8,7,35,1567.08
087bf976,2023-07-01,North,Groceries,3525.34,29,45,278.9
1e809e0a,2023-05-08,West,Electronics,438.53,14,14,55.24
c97d3165,2023-03-22,South,Electronics,1947.55,24,16,1387.77
425a6924,2024-10-02,West,Clothing,4684.16,16,30,1607.78
8a5977c9,2024-08-18,North,Electronics,118.07,34,35,1266.59
6628a2ad,2022-12-08,West,Electronics,4683.04,31,47,945.65
418969d0,2024-04-29,West,Sports,2731.26,29,5,795.38
d344a2c7,2023-07-28,East,Furniture,3012.88,16,16,789.81
6.78E+71,2023-02-13,North,Clothing,1877.37,40,46,730.86
3cccf911,2024-10-30,West,Electronics,2634.24,19,35,38.85
7fc85b77,2023-04-07,East,Sports,2112.39,29,15,1063.37
67786d7a,2023-04-12,North,Groceries,1184.59,10,32,1911.66
4f22a450,2023-07-08,South,Electronics,3836.47,17,14,1856.22
cd1a4970,2023-11-06,West,Groceries,781.32,22,8,229.41
fca3b2cc,2023-03-03,South,Electronics,2175.35,22,50,1763.89
c240726f,2023-02-03,North,Groceries,840.44,50,9,593.4
4263210b,2023-11-10,South,Electronics,1375.14,18,42,1337.36
46a56979,2024-03-03,North,Electronics,4338.88,5,28,483.38
0fcc3a9e,2023-08-29,East,Electronics,877.67,36,7,534.42
106d8cf5,2024-08-14,East,Clothing,2915.13,34,25,748.57
ebe9521d,2023-01-06,North,Sports,1825.2,31,11,1217.25
f0324386,2024-08-10,West,Electronics,1240.92,18,28,174.4
fbbfded3,2024-03-08,East,Sports,1748.99,43,39,932.44
7f759c44,2024-01-26,North,Sports,509.4,33,5,1985.69
727e5937,2023-11-30,East,Groceries,1853.75,2,16,947.28
027804b2,2024-10-08,North,Groceries,1306.13,15,22,349.72
de10fb1e,2023-04-06,West,Clothing,2633.39,21,24,629.92
cc6c442f,2023-04-29,East,Clothing,3938.09,18,31,1531.84
31a3a4e8,2023-04-12,South,Sports,4400.23,48,44,1530.14
39e65a96,2023-08-18,East,Groceries,2004.23,35,41,1396.22
fa3df40d,2024-09-12,North,Electronics,1878.24,20,36,1653.07
93a029f4,2022-12-16,North,Sports,821.04,24,50,193.79
f70d8609,2023-11-07,South,Electronics,3688.49,31,39,1916.28
3ab83748,2023-08-28,South,Groceries,2626.75,48,22,1996.41
bc509622,2024-04-26,North,Clothing,2909.02,50,11,1249.34
a2302bd9,2024-04-15,West,Electronics,1208.05,10,32,1456.4
256f7316,2024-03-30,West,Furniture,3040.56,12,44,1568.86
ff50a482,2024-06-02,West,Electronics,3113.48,6,48,1108.21
66b06131,2023-09-16,North,Electronics,1925.06,21,1,460.01
2bebdec7,2024-05-06,North,Furniture,586.42,26,13,1477.88
10e4da1a,2023-02-06,West,Electronics,3918.22,26,22,564.46
65f1e30f,2024-03-14,East,Groceries,1081.32,18,28,993.98
3bfae9d7,2023-10-02,East,Sports,3764.38,36,21,1553.93
9be3d0ec,2023-10-05,West,Electronics,1054.04,13,39,126.62
62f59bd6,2023-06-23,East,Sports,478.01,28,29,1057.74
8e09f474,2023-12-19,South,Sports,3815.58,8,6,642.87
9ad708bc,2022-12-17,East,Sports,2044.96,34,3,960.79
38373fe1,2023-02-02,West,Groceries,2231.2,22,10,688.14
6e9214ce,2023-12-30,South,Clothing,835.26,13,36,1674.81
9103a0e2,2023-07-05,East,Electronics,565.91,10,27,1181.33
19f30bc3,2023-11-16,West,Groceries,3180.04,21,48,1183.27
5f021a1b,2024-01-25,West,Groceries,1510.87,5,23,835.6
0f0ff441,2024-10-02,West,Groceries,1717.94,34,5,528.35
cdc6d3ec,2024-01-16,West,Sports,2608.11,34,41,1273.28
225e930d,2023-09-03,West,Groceries,2453.8,39,11,1442.04
fec691eb,2024-06-10,South,Sports,1954.44,10,14,1433.28
60b6b7a7,2023-02-18,East,Clothing,4784.11,40,37,985.48
6f96d5b9,2024-10-12,West,Groceries,1608.13,31,31,1758.35
3d1b7159,2024-05-25,East,Electronics,687.26,43,21,1555.12
3f542db4,2024-08-15,West,Furniture,71.79,36,42,1546.7
ddf5b67b,2023-12-04,West,Furniture,2747.19,21,12,1465.3
c85c3188,2023-11-21,West,Groceries,1387.68,18,30,904.34
15625ab1,2024-09-20,West,Sports,2530.77,39,42,651.95
cb43d385,2024-10-04,South,Sports,2529.89,12,2,1235.71
da892885,2023-10-30,North,Electronics,605.21,46,2,1626.74
f5448f52,2023-11-03,West,Furniture,3012.37,4,31,430.04
59b7f257,2023-12-06,North,Furniture,4914.08,29,37,1316.83
e88f49be,2024-10-02,East,Furniture,3146.59,10,6,1696.32
1c5bf0f0,2022-11-25,North,Groceries,2023.95,42,23,1272.7
b9161739,2023-01-27,East,Sports,4451.08,29,26,1002.86
e83fc29d,2022-11-23,South,Electronics,2843.57,22,22,419.23
73f698fa,2023-01-12,West,Clothing,3288.61,21,21,366.8
5651eb5d,2022-12-04,South,Electronics,3947.42,26,6,1041.68
6b93034f,2023-02-01,North,Sports,1899.53,24,12,154.48
c20f280b,2024-03-22,West,Sports,3347.49,11,30,1814.86
ac49e295,2024-06-02,East,Furniture,2832.18,40,27,1043.36
3508cf1e,2023-02-08,North,Clothing,101.35,38,48,1637.71
c6e09557,2023-12-24,North,Groceries,2627.5,25,2,1064.03
2ba49935,2024-03-22,North,Furniture,1562.89,38,31,749
b58d9c57,2024-04-07,West,Electronics,2368.94,36,6,1274.07
bfedf1f5,2023-10-20,North,Sports,2670.33,48,6,1618.28
9ff90547,2024-02-13,East,Sports,1316.85,10,15,190.62
d9ca80f6,2023-05-07,North,Electronics,599.64,23,29,1250.29
3decc701,2024-05-11,West,Clothing,158.33,28,44,726.79
93ffbfb2,2023-09-29,West,Electronics,4751.08,31,18,1085.89
8e16fd5d,2023-03-25,East,Electronics,3047.98,36,21,740.43
add4aae5,2024-10-12,East,Clothing,3474.13,31,2,830.26
85172be9,2023-02-18,West,Sports,1313.41,7,28,709.47
227bb959,2023-05-15,South,Clothing,318.78,40,50,1754.87
6b77cd08,2023-02-18,North,Electronics,3933.43,48,38,244.78
84255c59,2024-03-22,South,Furniture,882.28,23,41,1037.78
dfe96fe0,2022-11-18,South,Sports,4587.97,34,38,1352.15
00349dcc,2024-10-01,North,Sports,3805.92,10,3,905.63
8d0843ce,2024-10-13,South,Groceries,1119.46,1,23,427.52
ad83577d,2023-03-27,South,Clothing,4095.13,16,15,1952.45
508ba48d,2024-07-30,West,Clothing,587.65,2,38,1307.5
9272af6e,2022-12-30,East,Clothing,276.04,34,14,1454.19
a3ecb33f,2023-03-12,West,Electronics,4655.76,35,43,41.95
f0b9e962,2023-11-09,West,Electronics,1811.45,25,4,1166.17
552eb17f,2024-10-29,East,Sports,1352.23,50,26,1076.04
7a30292e,2023-05-23,South,Sports,2542.84,48,32,543.46
a17fd98e,2023-05-20,East,Electronics,3678.54,46,4,1829.99
c390b0e3,2024-08-23,North,Electronics,1858.07,42,38,294.99
438aa1a4,2024-03-07,South,Sports,1643.46,30,13,227.54
1596f8e5,2023-12-02,West,Sports,3596.04,34,6,1366.01
bce7cfc2,2024-09-27,North,Furniture,623.42,9,30,1597.5
9b656791,2023-11-20,West,Electronics,4159.41,33,45,564.71
3892eb53,2023-10-16,East,Sports,422.54,46,24,1658.28
31cdae3c,2023-01-04,West,Sports,4636.57,27,40,923.03
f03f95bc,2023-09-08,North,Groceries,2858.13,18,14,750.32
08e64ed3,2024-04-02,North,Electronics,213.54,8,46,1519.28
7959b374,2022-12-30,North,Groceries,1488.39,25,21,1720.51
1aec12e3,2023-06-24,North,Sports,2936.81,16,1,1066.45
8a6b4a81,2023-09-26,East,Groceries,2270.87,49,21,1044.47
a98d84bf,2023-05-28,East,Clothing,872.63,7,3,440.81
a246dc30,2023-11-01,West,Sports,3090.39,36,18,958.92
b8840863,2024-08-10,East,Groceries,3915.94,20,16,1076.21
35b2258a,2023-10-26,South,Sports,4548.37,29,50,1639.81
f56337b2,2023-11-08,North,Groceries,1736.1,23,11,821.24
1ff473cf,2024-03-30,North,Furniture,3030.3,18,12,1882.67
9c92dce6,2023-09-06,North,Electronics,3844.92,38,11,258.93
ec39ff94,2023-02-22,West,Furniture,3149.85,45,41,362.73
56b68ae3,2024-02-27,West,Clothing,196.66,32,3,112.75
4e1888e8,2024-03-15,North,Electronics,2104.66,44,15,539.63
c9ec1f90,2023-05-24,West,Electronics,1973.55,13,9,915.14
1af869ff,2023-09-15,West,Groceries,1997.57,4,9,1392.8
7bcfd66b,2024-06-22,South,Sports,1585.3,5,20,928.27
44574b41,2023-12-12,East,Electronics,1629.45,29,4,758.45
77fcb547,2024-03-18,West,Furniture,3200.45,35,44,1908.14
f1c574d7,2023-08-05,North,Sports,2611.96,12,9,264.14
dcc1ac33,2023-10-24,West,Furniture,701.35,18,23,1853.85
4f46b773,2024-03-27,West,Clothing,579.08,18,0,482.13
82cf432f,2024-04-15,North,Clothing,1543.72,2,11,1745.53
6c150ad1,2024-04-04,South,Clothing,3242.24,37,49,447.53
1d17a9ba,2024-02-07,West,Sports,3205.57,9,26,1403
954defb3,2024-10-22,West,Sports,4326.95,25,44,683.97
b8cf2057,2024-08-23,West,Groceries,4237.95,28,46,1882.05
34219740,2023-08-31,East,Clothing,2654.9,27,6,386.79
fbc28882,2024-05-11,North,Electronics,4725.34,30,36,143.62
8af57170,2024-04-03,West,Sports,4913.43,6,29,1526.48
6f8e2e53,2024-04-10,South,Electronics,3606.92,23,15,296.84
7f9d7b0a,2023-11-25,West,Furniture,3181.67,34,9,488.45
72f820e0,2023-07-03,West,Groceries,2379.51,39,5,1714.22
fd21c89e,2023-06-05,South,Sports,1467.12,11,5,400.53
dbfd8eda,2024-10-16,South,Sports,2869.73,9,8,675.46
fc64a845,2024-09-30,North,Clothing,275.35,29,25,1860.04
b46d3a09,2024-02-10,East,Clothing,3956.33,38,48,472.99
31275d77,2024-07-26,West,Furniture,777.75,39,29,437.32
c6bd8f59,2023-08-10,West,Furniture,2033.72,21,12,455.32
f36a93e8,2024-02-08,South,Furniture,2067.49,44,21,972.12
5d0b3362,2024-01-30,North,Furniture,804.25,17,42,219.6
febc5765,2023-04-08,West,Clothing,3192.94,26,43,1184.28
